Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;5;6;6;6;10;3
1000001;1A;2;3;0;0;1;3
1000002;1A;3;1;6;3;0;0
1000003;1A;4;3;6;1;10;3
1000004;1A;0;3;1;5;4;0
1000005;1A;3;3;5;1;5;2
1000006;1A;0;5;5;6;2;0
1000007;1A;4;1;0;1;1;3
1000008;1A;4;1;0;3;6;1
1000009;1A;5;1;2;2;8;3
1000010;1A;3;0;3;5;3;2
1000011;1A;1;0;1;4;1;0
1000012;1A;1;0;1;6;7;0
1000013;1A;2;3;3;3;1;3
1000014;1A;3;2;6;2;9;1
1000015;1A;2;0;1;5;10;0
1000016;1A;4;3;2;4;9;2
1000017;1A;5;1;4;5;2;3
1000018;1A;1;3;2;5;4;1
1000019;1A;1;0;2;4;5;0
1000020;1A;5;4;0;5;5;3
1000021;1A;0;6;4;5;10;1
1000022;1A;3;2;1;2;0;0
1000023;1A;0;5;2;3;10;2
1000024;1A;3;2;1;6;3;0
1000025;1A;4;0;4;1;9;0
1000026;1A;3;0;6;5;9;2
1000027;1A;3;3;4;4;3;0
1000028;1A;0;1;2;5;2;0
1000029;1A;4;2;0;1;10;0
1000030;1A;3;1;1;5;3;1
1000031;1A;0;3;3;1;3;0
