Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;4;8;10;4;7;7
1000001;1A;1;6;6;0;1;4
1000002;1A;0;1;10;2;3;5
1000003;1A;1;2;8;3;5;2
1000004;1A;2;8;5;1;3;5
1000005;1A;0;5;3;2;7;2
1000006;1A;0;6;3;2;5;5
1000007;1A;1;1;3;4;6;6
1000008;1A;1;1;9;2;0;7
1000009;1A;3;8;0;1;1;4
1000010;1A;2;3;0;2;3;0
1000011;1A;0;4;6;1;3;1
1000012;1A;2;8;2;1;6;2
1000013;1A;3;3;9;2;0;0
1000014;1A;4;4;0;3;6;4
1000015;1A;4;8;3;4;2;1
1000016;1A;2;7;4;0;5;7
1000017;1A;3;6;8;0;6;6
1000018;1A;2;6;0;1;4;7
1000019;1A;4;4;10;4;2;4
1000020;1A;0;4;8;0;7;2
1000021;1A;4;2;5;1;0;2
1000022;1A;0;7;4;0;5;5
1000023;1A;0;8;8;0;6;6
1000024;1A;0;0;9;2;4;1
1000025;1A;2;5;4;1;7;6
1000026;1A;2;5;3;3;5;5
