Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;6;8;7;10;8;2
1000001;1A;5;5;0;4;6;0
1000002;1A;2;8;3;6;4;0
1000003;1A;4;4;0;0;6;0
1000004;1A;1;6;6;5;3;0
1000005;1A;2;8;4;0;3;2
1000006;1A;2;0;5;8;7;2
1000007;1A;1;5;2;6;8;2
1000008;1A;3;3;5;7;2;2
1000009;1A;6;5;1;4;3;1
1000010;1A;3;5;4;7;3;2
1000011;1A;2;4;4;3;6;0
1000012;1A;5;7;4;6;1;1
1000013;1A;6;6;3;5;1;2
1000014;1A;5;5;2;2;5;2
1000015;1A;5;4;0;6;6;0
1000016;1A;5;5;1;1;4;0
1000017;1A;0;4;1;8;2;2
1000018;1A;5;8;1;4;8;0
1000019;1A;1;8;1;9;2;1
1000020;1A;4;6;5;5;0;0
1000021;1A;2;6;0;6;0;0
1000022;1A;6;8;3;5;2;1
1000023;1A;6;3;1;0;4;1
1000024;1A;4;0;7;10;7;1
1000025;1A;1;0;0;7;3;2
1000026;1A;1;7;3;8;8;0
1000027;1A;6;1;0;7;1;1
1000028;1A;6;4;0;8;5;0
1000029;1A;1;5;5;1;7;2
1000030;1A;6;1;1;6;4;2
1000031;1A;0;0;1;5;8;0
1000032;1A;6;5;5;1;5;1
1000033;1A;1;8;3;5;5;0
1000034;1A;0;0;6;7;1;0
1000035;1A;6;4;6;5;7;1
1000036;1A;3;4;1;4;7;2
1000037;1A;1;1;2;1;0;0
1000038;1A;2;2;5;6;2;0
1000039;1A;2;5;3;5;6;0
1000040;1A;2;2;3;6;8;2
1000041;1A;2;2;2;10;1;1
1000042;1A;3;6;7;6;3;0
1000043;1A;0;2;0;2;6;2
1000044;1A;0;6;6;5;1;2
1000045;1A;2;6;5;2;6;2
1000046;1A;1;2;5;9;8;2
1000047;1A;1;0;1;9;0;0
1000048;1A;4;0;4;5;3;1
