Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;10;5;5;8;5;4;4;1;6;2;5;7;10;2;8;5;4;2;7;9;9
1000001;1A;0;2;1;7;1;4;3;1;0;0;0;6;2;1;1;3;3;0;3;1;6
1000002;1A;8;1;5;1;0;3;0;0;0;0;2;4;0;1;1;4;0;0;3;8;1
1000003;1A;7;0;3;2;1;2;3;1;2;0;3;5;9;2;8;2;4;0;6;0;8
1000004;1A;8;2;1;0;2;3;1;1;2;0;0;5;0;2;8;5;4;0;4;0;0
1000005;1A;10;0;2;5;1;3;2;0;0;1;0;7;8;2;5;3;4;0;7;6;1
1000006;1A;2;2;4;2;1;4;3;0;5;2;4;2;4;0;8;2;3;1;3;2;0
1000007;1A;1;5;0;6;4;2;2;1;2;0;3;5;2;1;3;0;0;2;0;4;6
1000008;1A;4;4;1;5;2;3;1;1;4;0;3;1;0;2;7;1;2;1;4;7;6
1000009;1A;1;0;2;5;2;0;3;0;6;1;5;2;1;1;3;3;0;2;6;6;5
1000010;1A;9;3;1;1;5;0;0;0;3;1;5;6;9;2;2;4;4;0;5;5;9
1000011;1A;7;5;3;5;5;2;4;1;1;1;4;6;2;1;1;3;0;2;1;4;6
1000012;1A;0;1;1;7;2;3;3;0;2;2;4;3;6;1;8;0;0;2;3;5;7
1000013;1A;4;5;3;3;5;0;4;1;0;0;3;7;4;0;8;5;4;2;2;3;8
1000014;1A;2;5;5;3;5;2;0;0;3;1;3;1;1;1;5;4;0;1;6;3;0
1000015;1A;7;1;0;4;1;1;3;1;3;0;2;5;3;0;1;1;1;2;7;6;7
1000016;1A;7;3;5;6;3;0;4;1;1;0;1;7;6;1;8;1;2;1;3;7;5
1000017;1A;1;3;5;1;4;1;0;1;0;2;1;1;3;0;1;2;1;0;5;7;9
1000018;1A;5;4;4;8;3;1;1;1;3;0;1;4;0;1;1;5;0;2;2;6;9
1000019;1A;8;1;3;0;5;4;2;1;3;0;3;6;5;1;6;5;0;2;0;7;0
1000020;1A;3;5;2;3;3;3;2;0;1;2;3;3;9;0;2;3;4;2;1;8;1
1000021;1A;3;5;3;5;4;0;4;1;0;2;5;7;9;2;6;3;3;1;6;6;9
1000022;1A;0;1;4;2;5;3;4;0;6;2;3;5;2;0;5;2;3;0;4;1;9
1000023;1A;10;3;5;5;2;1;4;0;3;2;5;2;5;1;1;1;1;0;1;8;0
1000024;1A;1;2;3;6;4;4;0;1;2;2;2;1;3;2;8;0;2;0;4;2;0
1000025;1A;8;4;4;7;3;1;0;0;0;1;5;5;8;2;6;0;4;0;0;8;1
1000026;1A;7;5;1;7;1;0;3;1;2;0;4;7;6;0;4;3;3;0;5;8;8
1000027;1A;5;2;2;4;2;2;2;1;1;0;0;5;2;2;5;3;3;0;4;3;7
1000028;1A;4;4;0;6;1;4;1;0;4;0;1;2;1;1;7;0;0;0;0;7;8
1000029;1A;7;5;2;1;4;1;4;1;6;1;2;2;5;0;1;2;3;0;5;4;0
1000030;1A;10;1;1;4;1;4;4;0;6;0;0;0;3;0;1;5;4;0;7;4;4
1000031;1A;0;0;4;5;0;0;3;1;4;2;3;4;9;1;0;5;0;1;0;7;8
1000032;1A;2;5;1;3;1;4;1;1;5;1;0;6;5;0;3;1;3;2;0;1;9
1000033;1A;10;3;3;5;1;2;4;1;5;1;3;7;10;1;3;1;3;2;7;3;7
