Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;1;10;2;5;9;2;2;6;10;10;6;3;1;6;9;1;1;5;1;3;1
1000001;1A;1;8;1;4;4;2;2;1;2;7;6;2;1;6;7;1;0;5;0;1;0
1000002;1A;0;10;0;2;6;2;0;4;10;10;5;1;1;6;5;1;0;3;0;0;0
1000003;1A;0;9;1;1;9;1;2;4;4;5;3;1;1;5;7;0;1;5;1;2;0
1000004;1A;0;3;1;4;5;1;0;3;7;2;4;0;0;2;3;1;0;2;1;0;1
1000005;1A;1;6;1;3;1;0;0;5;10;5;5;3;0;5;9;1;0;5;1;1;0
1000006;1A;1;4;2;4;2;1;1;5;5;1;1;1;1;6;5;1;1;3;0;3;0
1000007;1A;0;9;0;5;6;2;2;0;5;2;2;2;0;2;6;0;1;3;1;1;1
1000008;1A;1;4;2;5;4;1;2;5;3;10;3;1;0;3;6;1;1;0;1;2;0
1000009;1A;1;8;0;3;0;0;1;5;2;1;3;0;0;1;0;1;0;2;0;2;0
1000010;1A;1;6;2;1;4;1;2;0;3;2;4;0;1;1;9;0;1;3;0;2;0
1000011;1A;1;0;2;3;7;2;0;4;2;0;5;1;0;3;0;1;1;4;0;0;1
1000012;1A;0;8;1;0;0;2;0;5;0;3;3;2;0;0;3;1;0;4;1;1;0
1000013;1A;1;1;0;0;2;1;1;2;4;3;5;0;0;4;1;1;1;1;0;2;0
1000014;1A;1;1;0;0;9;2;2;5;0;7;6;0;0;4;2;1;1;0;1;1;0
1000015;1A;0;7;0;4;4;2;1;0;1;1;1;2;1;3;3;1;1;5;1;1;0
1000016;1A;1;0;1;1;0;2;0;1;8;2;6;3;0;5;2;1;0;0;0;1;0
1000017;1A;0;4;0;4;9;1;0;3;3;7;3;3;1;6;7;1;1;3;1;3;1
1000018;1A;1;6;2;0;5;2;0;6;0;7;5;0;1;0;3;0;1;2;0;0;1
1000019;1A;0;10;2;5;2;1;1;5;0;2;0;3;0;1;0;1;1;1;1;3;1
1000020;1A;1;7;2;3;3;2;2;6;10;10;5;3;1;5;3;0;1;3;0;3;0
1000021;1A;1;9;1;4;5;2;1;3;6;0;4;2;1;6;6;0;1;5;0;1;1
1000022;1A;0;5;1;2;5;0;0;0;10;0;0;0;1;2;7;1;0;5;1;2;0
1000023;1A;1;7;2;3;9;1;0;3;4;7;2;3;0;3;8;1;1;4;0;1;0
1000024;1A;0;10;1;4;0;0;0;6;8;6;2;0;1;2;1;1;1;0;1;1;1
1000025;1A;0;1;1;3;4;0;2;2;9;4;4;0;0;4;7;1;1;4;1;1;0
1000026;1A;0;8;0;1;8;2;2;6;8;3;1;3;0;4;2;0;0;2;1;1;1
1000027;1A;0;1;0;4;5;2;1;2;8;6;3;2;1;4;2;1;0;3;1;3;1
1000028;1A;1;7;2;4;9;1;2;4;5;9;3;0;1;0;9;1;1;5;0;1;0
1000029;1A;0;4;2;0;7;1;2;1;3;1;3;2;1;5;3;1;1;4;0;0;0
1000030;1A;0;0;2;3;0;1;0;1;5;5;5;3;0;0;7;1;0;5;1;1;1
1000031;1A;1;1;2;3;8;1;0;3;1;3;0;3;0;2;1;0;0;2;1;3;0
1000032;1A;0;4;0;2;8;1;0;1;7;0;2;1;1;1;7;0;1;0;1;0;1
1000033;1A;0;3;2;1;8;2;1;3;10;5;3;1;0;4;2;1;0;5;1;3;0
